"1","akismet","0","4358","6904"
"2","google-sitemap-generator","0","2303","6936"
"3","wordpress-seo","0","2382","6894"
"4","contact-form-7","0","1653","6802"
"5","better-wp-security","0","528","6868"
"6","nextgen-gallery","0","641","6835"
"7","jetpack","1","1398","6485"
"8","w3-total-cache","0","1805","6437"
"9","wysija-newsletters","1","365","6427"
"10","woocommerce","0","428","6338"
"11","wordpress-importer","0","1299","6115"
"12","all-in-one-seo-pack","0","1418","6133"
"13","google-analytics-dashboard-for-wp","0","368","6054"
"14","really-simple-captcha","0","637","6091"
"15","wp-optimize","0","825","5879"
"16","wordfence","0","541","6137"
"17","coming-soon-maintenance-mode-ready","0","289","5864"
"18","broken-link-checker","0","666","5964"
"19","disable-comments","0","350","6034"
"20","google-analytics-for-wordpress","0","955","6627"
"21","worker","0","443","6670"
"22","advanced-custom-fields","0","751","6686"
"23","wptouch","0","615","6629"
"24","the-events-calendar","0","344","5643"
"25","black-studio-tinymce-widget","0","316","5753"
"26","social-networks-auto-poster-facebook-twitter-g","0","474","5586"
"27","wp-pagenavi","0","1176","5639"
"28","shortcodes-ultimate","0","371","6649"
"29","ml-slider","0","345","6644"
"30","share-this","0","304","5385"
"31","wp-super-cache","0","1176","5171"
"32","tinymce-advanced","0","653","5521"
"33","updraftplus","0","401","6664"
"34","contact-form-plugin","0","395","6671"
"35","wp-to-twitter","0","515","6577"
"36","contact-form-7-to-database-extension","0","311","3831"
"37","wp-slimstat","0","280","6292"
"38","facebook","0","617","6509"
"39","shareaholic","0","437","6567"
"40","newsletter","0","349","3971"
"41","slideshow-jquery-image-gallery","0","303","6227"
"42","regenerate-thumbnails","0","646","3816"
"43","wp-google-maps","0","305","6032"
"44","user-role-editor","0","552","4815"
"45","vipers-video-quicktags","0","391","4451"
"46","seo-ultimate","0","345","4759"
"47","photo-gallery","0","347","6571"
"48","captcha","0","500","6543"
"49","add-to-any","0","320","3293"
"50","all-video-gallery","1","262","5271"
"51","duplicate-post","0","533","5747"
"52","backwpup","0","345","3018"
"53","mailchimp-for-wp","0","349","6420"
"54","siteorigin-panels","0","320","6545"
"55","gallery-plugin","0","308","4147"
"56","squirrly-seo","0","255","3998"
"57","bbpress","0","579","5971"
"58","buddypress","0","329","2383"
"59","backupwordpress","0","381","6484"
"60","options-framework","0","333","6636"
"61","bulletproof-security","0","285","2164"
"62","ewww-image-optimizer","0","408","5558"
"63","duplicator","0","282","2342"
"64","ajax-thumbnail-rebuild","0","371","5127"
"65","ultimate-coming-soon-page","0","290","2857"
"66","breadcrumb-navxt","0","390","4811"
"67","wp-e-commerce","0","262","2704"
"68","wp-user-avatar","0","330","7861"
"69","google-analyticator","0","5","83"
